通し番号,品番,商品ID,商品名,タイトル,仕入個数,在庫数,棚卸,仕入日
"39,666",A0120220117106560,4549308558135 ,パール金属 ダンボール 収納 ストッカー ホワイト スキット HB-5813,,1,1,,2022/2/12
"39,670",A0120220128103169,B087M2NY2L,eono 卓上モニターアームデュアル PL04-07 ブラック,,1,1,,2022/2/12
"39,664",A0120220125102257,4905083058879 ,青島文化教材社 1/32 ザ・スナップキットシリーズ トヨタ GR SUPRA ブラックメタリック 色分け済みプラモデル,,1,1,,2022/2/12
"39,616",A0120220118108044,4589794580234 ,PLJM-16918,ロードス島戦記 - ディードリット・イン・ワンダーラビリンス - [PS4] ,1,1,,2022/2/11
"39,604",A0120211228101414,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2022/2/11
"39,596",A0120211229103738,4902370549003 ,HAC-P-AX7RA,ポケットモンスター シャイニングパール [Nintendo Switch] ,1,1,,2022/2/11
"39,606",A0120211229103486,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2022/2/11
"39,614",A0120220118108051,4589794580241 ,ELJM-30088,ロードス島戦記 - ディードリット・イン・ワンダーラビリンス - [PS5] ,1,1,,2022/2/11
"39,620",A0120220119103956,4988602174441 ,HAC-P-A4L4A,パワプロクンポケットR [Nintendo Switch] ,1,1,,2022/2/11
"39,622",A0120220119102232,4940261513580 ,PLJS-74015,ウィッチャー3 ワイルドハント ゲームオブザイヤーエディション [PS4],1,1,,2022/2/11
"39,618",A0120220118108099,4589794580258 ,HAC-P-A5JZA,ロードス島戦記 - ディードリット・イン・ワンダーラビリンス -[Nintendo Switch] ,1,1,,2022/2/11
"39,567",A522540920436,4976219115803 ,HAC-P-AXSEA,カプコン　モンスターハンターライズ [Nintendo Switch]　HAC-P-AXSEA,1,1,,2022/2/10
"39,456",A0120211223105905,4904810972013 ,ZOIDS ゾイドワイルド ZW02 ギルラプタ―,ZOIDS ゾイドワイルド ZW02 ギルラプタ―,1,1,,2022/2/8
"39,454",A0120211223106780,5702016370966 ,レゴ マクラーレンセナ 75892 ブロック トイボーイズカー,レゴ マクラーレンセナ 75892 ブロック トイボーイズカー,1,1,,2022/2/8
"39,444",A0120211229102441,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2022/2/8
"39,438",A0120211229102007,4902370548983 ,HAC-P-AX7QA,ポケットモンスター ブリリアントダイヤモンド [Nintendo Switch] ,1,1,,2022/2/8
"39,153",A192643887391,4549995039412 ,MRXE2FE/A,Apple　12.9インチiPad Pro用 Smart Folio(第3世代) MRXE2FE/A [ホワイト],1,1,,2022/1/31
"38,902",A0120211221101411,4902370549003 ,HAC-P-AX7RA,ポケットモンスター シャイニングパール [Nintendo Switch] ,1,1,,2022/1/21
"38,898",A0120211215105739,4571558940095 ,ELJM-30092,ディサイプルズ リベレーション [PS5] ,1,1,,2022/1/21
"38,896",A0120211214103491,4571558940095 ,ELJM-30092,ディサイプルズ リベレーション [PS5] ,1,1,,2022/1/21
